doc_id,text,label,category,word_count
doc_13699,"How about tell everyone what the hell they were doing there in the first place? If we knew that, we'd be in a much better position to judge their actions. Until then, we can only speculate and develop nice conspiracy and/or police state stories.",18,talk.politics.misc,44
doc_11974,Maybe I should have been clearer. I have a Intel 386DX/25 that I would like to use to put together a system however all the motherboards that the local vendors are now selling are running either at 33 or 40 MHz. I guess I can cross my fingers and hope the CPU runs at that speed. ;^) I think I'll take Mark's advice and see if any of the boards have a socketed oscillator and head down to the local electronics store... Thanks for the info...,3,comp.sys.ibm.pc.hardware,86
doc_5936,"So if Potvin can pound on Dino, what happens when Dino pounds on him? If Dino gets his legs slashed, can he slash Potvin in return? This year at a UM-LSSU hockey game, a UM player was called for a slash when he hit the goalie's glove with his stick. Is that slashing, while hitting someone's ankles isn't? How do the refs know what to call? Do the goalies get more liberties than other players?",10,rec.sport.hockey,75
doc_7558,"I am wanting to upgrade from a 386SX-25, to a 486DX-33, and are looking at a cheap quote from someone offering me a 486DX-33 motherboard, with no ram in it. (I will probably sell my old m-board off somewhere) Now, I have 4 meg of RAM in my 386, which consists of 4 x 9 module 1024KB simms, running at 70 nanoseconds. ^^^^^^^^ ^^^^^^^^^^^^^^ Would I encounter problems with the pointed out areas, by throwing these from one computer to the other?",3,comp.sys.ibm.pc.hardware,82
doc_14922,"Now, almost 100 years later, we have the right words for the problem here. Phone calls are ""virtual visits"". Those experienced in virtual reality would know from that title that phone calls need to have all the properties of a walk in the park with your friend -- security from casual overhearing and easy verification to see if anyone is listening secretively. As designed, they fail at that. ..trouble is, telephones were invented a long time ago and people didn't realize the danger or the concept of virtual reality back then.",11,sci.crypt,91
doc_12935,"Yes I am aware CorelDraw exports in SCODAL. Version 2 did it quite well, apart from a few hassles with radial fills. Version 3 RevB is better but if you try to export in SCODAL with a bitmap image included in the drawing it will say something like ""cannot export SCODAL with bitmap""- at least it does on my version. If anyone out there knows a way around this I am all ears. Temporal images make a product called Filmpak which converts Autocad plots to SCODAL, postscript to SCODAL and now GIF to SCODAL but it costs $650 and I was just wondering if there was anything out there that just did the bitmap to SCODAL part a tad cheaper.",1,comp.graphics,120
doc_4032,"I like it. PGP would be useful, I guess. Although I don't have a working version for VMS yet... :-(",11,sci.crypt,20
doc_3479,"RFD Request For Discussion for the OPEN TELEMATIC GROUP OTG I have proposed the forming of a consortium/task force for the promotion of NAPLPS/JPEG, FIF to openly discuss ways, method, procedures,algorythms, applications, implementation, extensions of NAPLPS/JPEG standards. These standards should facilitate the creation of REAL_TIME Online applications that make use of Voice, Video, Telecommuting, HiRes graphics, Conferencing, Distant Learning, Online order entry, Fax,in addition these dicussion would assist all to better understand how SGML, CALS, ODA, MIME, OODBMS, JPEG, MPEG, FRACTALS, SQL, CDrom, cdromXA, Kodak PhotoCD, TCL, V.FAST, and EIA/TIA562, can best be incorporated and implemented to develop TELEMATIC/Multimedia applications. We want to be able to support DOS, UNIX, MAC, WINDOWS, NT, OS/2 platforms. It is our hope that individuals, developers, corporations, Universities, R & D labs would join in in supporting such an endeavor. This would be a NOT_FOR_PROFIT group with bylaws and charter. Already many corporations have decided to support OTG (Open TELEMATIC Group) so do not delay joining if you are a developer An RFD has been posted to form a usenet newsgroup and a FAQ will soon be be composed to start promulgating what is known on the subject. If you would like to be added to the maillist send email or mail to the address below. This group would publish an electronic quarterly NAPLPS/JPEG newsletter as well as a hardcopy version. We urge all who wants to see CMCs HiRes based applications & the NAPLPS/JPEG G R O W, decide to join and mutually benefit from this NOT-FOR_PROFIT endeavor. NOTE: Telematic has been defined by Mr. James Martin as the marriage of Voice, Video, Hi-res Graphics, Fax, IVR, Music over telephone lines/LAN. If you would like to get involve write to me at: IMG Inter-Multimedia Group| Internet: P.O. Box 95901 | Atlanta, Georgia, US | CIS : 70611,3703 | FidoNet : 1:133/407 | BBS : +1-404-985-1198 zyxel 14.4k",1,comp.graphics,313
doc_10440,"I heard a great Civil War story... A guy on the battlfield is shot in the groin, the bullet continues on it's path, and lodges in the abdomen of a female spectator. Lo and behold.... As the legend goes, both parents survived, married, and raised the child.",13,sci.med,47
doc_7802,"We are interested in constructing a reentry vehicle to be deployed from a tether attached to an orbiting platform. This will be a follow on to our succesful deployment of a 20 kilometer tether on the March 29 flight of SEDS (Small Expendable Deployment System), which released an instrumented payload that reentered the earth's atmosphere and burned up over the west coast of Mexico. This time we want to make a payload that can be recovered. We want to build it from ""off the shelf"" technology so as to do this as quickly and inexpensively as possible. We want to be able to track the payload after it has deployed its parachute. An idea we have is to put the same kind of radio beacon on it that is used with SARSATs (Search and Rescue Satellites). It would turn on with the opening of the parachute and aid in tracking. These beacons are known in the marine industry as EPIRBs (Emergency Position Indicating Radio Beacon). They are rugged (they have to be to survive a ship wreck!) and cheap. We have several questions: 1. What is the world authority regulating the use of SARSAT beacons. Are there multiple authorites, i.e. military and civilian? 2. What are the regulations regarding the use of SARSAT signals. Can they be used for one of a kind situations with a long lead time of warning the relevant authorities, or are they strictly reserved for life threatening emergencies? 3. What is the coverage of SARSATS? Are they in LEO with only intermittant coverage of a fixed position on the earth, or are they in geosynchronous orbit? 4. Is there an industry organization governing the use and manufacture of these transponders? Please post replies here or send E-mail to me at: Thanak you very much for any assistance you can provide.",14,sci.space,305
